Date,Type,Gender,weather,Path
2010-08-19 13:25:34,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-133203.png
2019-06-04 05:19:16,casual,male,winter,dataset\casual_men_winter\Screenshot_20231230-165516.png
2002-07-03 15:08:30,casual,male,summer,dataset\casual_men_summer\Screenshot_20231230-170355.png
2003-11-10 13:34:59,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131617.png
2011-09-18 10:36:38,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131000.png
2011-07-04 14:41:37,formal,male,summer,dataset\formal_men_summer\men_s outfit.jpeg
2009-09-01 18:14:19,formal,male,winter,dataset\formal_men_winter\If Your Version of Business Casual Includes a Tie___ (1).jpeg
2007-01-01 00:27:40,casual,male,winter,dataset\casual_men_winter\e85446a621ce10a89b33e5cafe8a0f32.jpg
2017-06-15 22:44:45,casual,female,winter,dataset\casual_women_winter\cute comfy fits.jpeg
2013-09-04 11:28:00,formal,male,summer,dataset\formal_men_summer\Best Casual wear for men images _ Men Fashion _ Menswear.jpeg
2017-07-27 12:57:56,formal,female,summer,dataset\formal_women_summer\Classical Work Outfit For Winter - FashionActivation.jpeg
2003-01-10 20:24:38,formal,male,summer,dataset\formal_men_summer\My 5 Favorite Men's Wear Trends And Sustainable Brands _ Part 5 - _ Work Outfits Men.jpeg
2007-07-17 18:48:32,formal,male,summer,dataset\formal_men_summer\9c25a17c-7802-4ed9-b345-9924baf963cf.jpeg
2001-04-20 03:57:59,casual,male,winter,dataset\casual_men_winter\old money aesthetic outfits men.jpeg
2009-01-07 05:24:56,casual,male,summer,dataset\casual_men_summer\Old Money Men_s Fashion 2024_ 30 Outfits You Need to Know (1).jpeg
2011-06-09 12:36:55,casual,female,winter,dataset\casual_women_winter\84cb87ed-63fc-4312-9a62-b8f45017cfd8.jpeg
2013-06-28 08:30:27,casual,male,summer,dataset\casual_men_summer\Screenshot_20231230-170856.png
2011-03-14 18:13:58,casual,female,winter,dataset\casual_women_winter\Tess Christine (@tesschristinexo) • Instagram….jpeg
2017-09-13 16:25:29,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.58.00_805ff5ba.jpg
2019-04-20 18:35:43,casual,male,summer,dataset\casual_men_summer\Men’s 2024 party outfits 16 ideas_ From casual chic to gatsby glam #2.jpeg
2001-10-15 20:12:03,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.56.19_ef281378.jpg
2008-02-19 23:17:01,casual,male,summer,dataset\casual_men_summer\Screenshot_20240106-233911.png
2012-08-24 10:06:43,formal,male,winter,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.57.25_ed881e2a.jpg
2001-04-29 13:00:31,formal,male,summer,"dataset\formal_men_summer\Men_s Shirts - Classic, Casual _ Denim Shirts for Men in Luxurious Fabrics (2).jpeg"
2006-02-19 16:15:40,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131015.png
2011-06-13 01:29:10,casual,male,winter,dataset\casual_men_winter\Screenshot_20240106-234244.png
2015-05-30 17:20:16,casual,male,summer,dataset\casual_men_summer\Screenshot_20240104-122239.png
2018-01-19 16:59:48,formal,female,winter,dataset\formal_women_winter\Latest dresses designs.jpeg
2020-01-27 06:20:55,casual,female,summer,dataset\casual_women_summer\fd6d0ba6c9131c49cd4ebc87ff93fea4.jpg
2020-07-26 06:20:09,casual,female,winter,dataset\casual_women_winter\Shacket outfit.jpeg
2001-07-19 00:03:46,casual,male,winter,dataset\casual_men_winter\Mango Man Puffer Coats Jackets 2022.jpeg
2008-09-28 20:13:11,casual,female,winter,dataset\casual_women_winter\Ootd.jpeg
2006-07-24 02:56:58,casual,male,summer,dataset\casual_men_summer\Screenshot_20240104-120202.png
2010-05-30 00:58:22,formal,male,summer,dataset\formal_men_summer\35 Stunning Outfits With Brown Dress Shoes.jpeg
2002-07-18 19:44:27,formal,male,summer,dataset\formal_men_summer\Men_s formal Office Outfits.jpeg
2007-05-20 00:03:32,casual,male,summer,dataset\casual_men_summer\Screenshot_20240106-234155.png
2007-12-15 22:50:54,formal,male,summer,dataset\formal_men_summer\Men_s Butcher Stripe Tailored Fit Shirt _ Tie Set (1).jpeg
2020-03-21 21:29:55,formal,male,summer,dataset\formal_men_summer\RAISED BY SOCIETY OOTD.jpeg
2011-01-18 08:46:28,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-132401.png
2003-09-07 09:05:35,casual,male,winter,"dataset\casual_men_winter\JackThreads _ Curated gear, members only prices, new drops weekly_.jpeg"
2008-07-07 17:17:00,formal,male,summer,dataset\formal_men_summer\Custom Tailored Shirts by Modern Tailor (1).jpeg
2006-04-20 02:14:11,formal,female,winter,dataset\formal_women_winter\The Rake.jpeg
2018-07-22 20:07:01,formal,female,summer,"dataset\formal_women_summer\High Waisted Pants for Women, Regular Fit Pants Women, High Rise Trousers for Women, Office and Formal Pants for Women - Etsy.jpeg"
2007-08-28 08:22:53,casual,male,summer,dataset\casual_men_summer\Old Money Aesthetic - Vintage Outfits For Men - Rich Italian New York European Fashion Ideas.jpeg
2003-06-28 09:40:32,casual,male,summer,dataset\casual_men_summer\Screenshot_20240104-122007.png
2005-03-07 23:20:09,casual,male,winter,dataset\casual_men_winter\84bf0cda5b9f237de0f7080c194ebe79.jpg
2001-04-21 02:00:51,casual,male,summer,dataset\casual_men_summer\Gentleman Style.jpeg
2008-04-02 03:34:02,casual,female,winter,dataset\casual_women_winter\47 Style Tips To Always Look Your Best (1).jpeg
2004-06-20 11:14:57,casual,female,winter,dataset\casual_women_winter\#TheLIST_ Off-Duty Fall Inspiration.jpeg
2017-07-22 09:58:00,formal,male,summer,dataset\formal_men_summer\Men of Style_ Ryan Gosling's Style Profile.jpeg
2012-05-16 12:11:15,formal,female,winter,dataset\formal_women_winter\an suit.jpeg
2013-12-11 08:38:24,formal,male,summer,dataset\formal_men_summer\Mid Blue Striped Twill Extra Slim Fit Shirt in Pure Cotton Traveller.jpeg
2008-02-24 02:24:17,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131211.png
2017-07-05 18:46:12,formal,male,summer,dataset\formal_men_summer\80+ Cool Outfits For Teenage Guys To Try In 2023.jpeg
2013-09-08 04:25:22,beach,male,Winter,dataset\beach_men\Orlebar Brown Spring Summer 19.jpeg
2009-08-09 16:12:21,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.56.48_69a62534.jpg
2017-04-07 14:27:18,casual,male,winter,dataset\casual_men_winter\Screenshot_20240106-233710.png
2006-02-09 21:28:28,casual,female,summer,dataset\casual_women_summer\PS Basics by Pacsun Easy T-Shirt curated on LTK.jpeg
2008-04-04 22:29:34,casual,male,winter,dataset\casual_men_winter\Men black leather jacket ouffit _ Fall Season Jacket  _ Trendy Jacket.jpeg
2009-02-17 13:59:40,casual,male,winter,dataset\casual_men_winter\Cool Cosmos.jpeg
2008-07-07 09:49:31,formal,female,summer,dataset\formal_women_summer\59bb973c-151a-4576-b90a-30ea8a8567bb.jpeg
2000-02-02 17:57:36,formal,male,winter,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.57.21_de14d139.jpg
2016-02-08 16:44:13,casual,female,winter,dataset\casual_women_winter\730eef65-ab24-43fd-b143-53fd7ad1e492.jpeg
2002-06-20 05:51:08,casual,male,winter,dataset\casual_men_winter\18 Men_s Easter Outfits He_ll Look On-Point In - Society19.jpeg
2011-09-09 11:57:52,beach,male,Summer,dataset\beach_men\Havaianas style.jpeg
2017-10-23 01:12:49,casual,female,winter,dataset\casual_women_winter\15 Cool Outfit Ideas And Other Fashion Diy Hacks!.jpeg
2004-05-31 16:52:11,beach,male,Summer,dataset\beach_men\d615bc9f-c6b2-4ed6-9329-527135700dab.jpeg
2020-09-21 03:28:53,casual,female,winter,dataset\casual_women_winter\de2d3992-45bb-4d9a-b6ac-d8dda5b6d917.jpeg
2014-06-23 09:24:59,formal,male,summer,dataset\formal_men_summer\b1604c73-f480-4265-900e-f9522f1caf62.jpeg
2001-04-07 22:44:48,casual,female,winter,dataset\casual_women_winter\Screenshot_20240104-133440.png
2003-11-13 23:16:54,casual,male,summer,dataset\casual_men_summer\Screenshot_20231230-170314.png
2003-01-30 22:38:44,formal,male,summer,dataset\formal_men_summer\How To Rock Neutral Colors This Season- TheUnstitchd_com.jpeg
2003-10-28 04:55:57,formal,male,summer,dataset\formal_men_summer\My 7 Favorite Men’s Wear Trends + Sustainable and Ethical Brands -.jpeg
2019-07-29 20:17:14,formal,male,summer,dataset\formal_men_summer\11 Edgy Ways To Dress Up Like A Style Icon.jpeg
2018-01-23 00:55:11,formal,male,winter,dataset\formal_men_winter\What To Wear To A Summer Wedding.jpeg
2002-05-27 23:03:27,formal,male,winter,dataset\formal_men_winter\Outfit 24.jpeg
2001-11-20 17:22:39,formal,male,winter,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.56.21_e45c6cfa.jpg
2015-03-18 02:55:21,casual,male,summer,dataset\casual_men_summer\Copy of Screenshot_20231230-171001.png
2016-02-06 10:44:52,formal,female,winter,dataset\formal_women_winter\17+ Trending Work _ Office Outfit Ideas For Women - The Finest Feed (1).jpeg
2009-04-04 01:01:28,casual,female,winter,dataset\casual_women_winter\Friday Favorites _ MrsCasual.jpeg
2016-03-01 17:09:10,formal,male,summer,dataset\formal_men_summer\Men_s formal Office Outfits (1).jpeg
2003-05-01 00:40:42,formal,male,summer,dataset\formal_men_summer\😍.jpeg
2008-10-23 23:58:37,beach,male,Summer,dataset\beach_men\666ac893-ba1b-42de-9f8b-bef70801c507.jpeg
2009-01-15 09:03:30,casual,male,winter,dataset\casual_men_winter\men fashion mens outfits mens outfits summer stylish men mens outfits summer stylish men shorts mens.jpeg
2009-06-24 22:57:29,formal,male,summer,dataset\formal_men_summer\men's outfit (1).jpeg
2000-04-19 06:44:24,formal,female,summer,dataset\formal_women_summer\Stylish Black Pencil Skirt Outfit Ideas - Extra Petite.jpeg
2010-09-16 07:21:52,formal,male,summer,dataset\formal_men_summer\116e4a31-cade-437d-99bd-2fc6a23b4ebd.jpeg
2000-10-18 13:23:20,casual,male,winter,dataset\casual_men_winter\15 Easy Mens Fashion Casual Tricks For A Sharper Look! - Nas Kobby Studios.jpeg
2013-07-04 04:06:27,casual,male,winter,dataset\casual_men_winter\Screenshot_20231230-165606.png
2003-04-09 05:45:50,formal,female,summer,"dataset\formal_women_summer\Skirt suits, uniforms, amazing dresses___ (1).jpeg"
2007-07-19 06:22:10,formal,female,winter,dataset\formal_women_winter\HGM Formal Suits Women Fashion Business Long Sleeve Blazer And Pants Office Ladies Work Wear - Blue Coat and pants _ 4XL.jpeg
2020-04-18 14:35:08,casual,male,winter,dataset\casual_men_winter\Screenshot_20231230-165408.png
2006-05-02 02:28:33,casual,female,winter,"dataset\casual_women_winter\I’m A Fashion And Beauty Photographer Based In London, And Here Are Some Of My Works (13 Pics) (2).jpeg"
2005-06-26 08:21:48,casual,male,winter,dataset\casual_men_winter\d56f14ec-9cc0-4817-ab00-7ea7058bc4e1.jpeg
2013-05-07 02:02:34,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131250.png
2007-05-28 04:44:27,casual,male,summer,dataset\casual_men_summer\Screenshot_20240106-234038.png
2001-10-09 01:26:49,formal,male,summer,dataset\formal_men_summer\Yellow Shirt Matching Pant Ideas _ Yellow Shirts Combination Pants - TiptopGents.jpeg
2009-09-03 01:11:33,casual,male,summer,dataset\casual_men_summer\Screenshot_20240106-234230.png
2010-01-26 05:46:41,casual,female,winter,dataset\casual_women_winter\trendy streetwear outfits ideas that_ll make you feel effortlessly cool.jpeg
2003-03-31 11:29:18,casual,male,winter,dataset\casual_men_winter\Old money winter outfits.jpeg
2013-07-08 12:46:35,casual,male,winter,dataset\casual_men_winter\men_s fashion.jpeg
2010-10-31 23:32:21,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.57.35_329d09a2.jpg
2020-07-11 10:25:58,formal,female,winter,dataset\formal_women_winter\The magic of the Internet.jpeg
2009-09-03 02:53:36,casual,female,winter,dataset\casual_women_winter\26 Great Outfit Ideas for Women Fall.jpeg
2013-07-05 06:40:27,formal,male,summer,dataset\formal_men_summer\2024 Men’s Formalwear_ Stylish and Business Casual 18 ideas #6.jpeg
2000-12-04 18:33:59,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131123.png
2019-12-08 16:35:02,formal,male,summer,dataset\formal_men_summer\💜 #CelebrityFashionStyle Hey You! Check Out CelebrityFashionStyle_Com #Ad.jpeg
2010-01-25 00:27:24,formal,male,summer,dataset\formal_men_summer\8cb8afe9-dccd-41a2-a062-b7f5669fa991.jpeg
2010-11-28 05:04:29,casual,female,winter,dataset\casual_women_winter\Screenshot_20240104-132851.png
2018-10-19 16:04:30,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.56.49_a31873fb.jpg
2007-03-25 21:36:32,casual,female,summer,dataset\casual_women_summer\Casual Street Style with Uniqlo! - Interior Designerella.jpeg
2013-04-05 22:26:52,casual,female,winter,dataset\casual_women_winter\me.jpeg
2008-11-14 13:55:13,formal,male,summer,dataset\formal_men_summer\6a3945f4016b87b35c7a8833abe2e74f.jpg
2004-08-09 11:04:59,formal,male,winter,dataset\formal_men_winter\60 Stylish Semi Formal Outfit Ideas For Men in 2023.jpeg
2016-11-17 19:06:15,casual,male,winter,dataset\casual_men_winter\Screenshot_20231230-165643.png
2015-05-12 06:43:53,formal,male,summer,dataset\formal_men_summer\Formal Shirts _ Causal Shirts for Men (1).jpeg
2010-05-27 05:06:10,casual,male,summer,dataset\casual_men_summer\Screenshot_20240106-234116.png
2010-04-03 23:29:19,casual,male,winter,dataset\casual_men_winter\40+ Fall Outfit Ideas for Men You Must Try.jpeg
2019-07-30 00:56:31,formal,male,winter,dataset\formal_men_winter\MEN PINK SUITS 2 Piece Formal Fashion Party Wear Beach Wedding Groom Suits.jpeg
2012-12-22 17:55:27,casual,female,winter,dataset\casual_women_winter\Screenshot_20240104-131305.png
2017-01-29 09:37:43,casual,male,summer,dataset\casual_men_summer\Screenshot_20240104-120306.png
2011-07-02 02:41:53,casual,female,winter,"dataset\casual_women_winter\TOP 20 cute winter fashion for women, 50_ off.jpeg"
2007-11-12 21:38:22,formal,female,winter,dataset\formal_women_winter\Full Size - Go Fug Yourself.jpeg
2019-09-25 21:43:35,beach,male,Summer,dataset\beach_men\The 4 Best Men_s Shorts Styles And How To Style Them.jpeg
2014-11-07 21:28:56,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131716.png
2008-12-10 09:47:24,casual,male,winter,dataset\casual_men_winter\Screenshot_20231230-165549.png
2009-04-11 03:32:14,casual,male,winter,dataset\casual_men_winter\The Journey 21.jpeg
2018-02-04 07:59:31,casual,male,summer,dataset\casual_men_summer\man man tattoo man tattoos man tattoo ideas man neck tattoo man cave decor man gift man fashion man.jpeg
2020-12-08 10:38:19,formal,male,summer,dataset\formal_men_summer\Aesthetic outfits men Trendy mens fashion Mens clothing styles Streetwear men outfits Casual outfits.jpeg
2015-07-30 09:29:40,casual,male,winter,dataset\casual_men_winter\These Hollywood Stars Had Major Wardrobe Mishaps on the Red Carpet.jpeg
2012-11-12 00:31:31,casual,female,winter,dataset\casual_women_winter\Fall _ winter outfit tip.jpeg
2008-09-29 23:46:15,formal,male,summer,"dataset\formal_men_summer\Best men_s fashion trending clothes outfits ideas, suit, trousers, shirts, t-shirts, shoes, watch 👌.jpeg"
2020-06-20 05:08:28,formal,female,summer,dataset\formal_women_summer\Shirts for Women _ Hawes _ Curtis _ USA.jpeg
2014-01-24 17:42:51,formal,male,summer,"dataset\formal_men_summer\Men_s Shirts - Classic, Casual _ Denim Shirts for Men in Luxurious Fabrics.jpeg"
2013-06-02 04:49:04,formal,female,summer,dataset\formal_women_summer\11 Simple Classic Street Styles - Wardrobe Essentials For Women _.jpeg
2006-05-15 02:57:31,formal,male,winter,dataset\formal_men_winter\Vêtement homme classe - les basiques d_un look gagnant en 70 images.jpeg
2017-01-26 10:26:03,formal,male,summer,dataset\formal_men_summer\Stylish dressing look so cute.jpeg
2000-06-20 14:20:58,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.56.56_d96b01ba.jpg
2006-07-07 16:29:25,formal,male,summer,dataset\formal_men_summer\Bespokesuit Suit for Men Brown Suit for summer wedding groom suit Gift For men Slim Fit Suit wedding suit for Groomsmen.jpeg
2004-01-29 23:18:03,formal,male,summer,dataset\formal_men_summer\Custom Tailored Shirts by Modern Tailor (2).jpeg
2003-05-31 20:43:41,formal,female,winter,dataset\formal_women_winter\Women in suits and blazers_ Photo.jpeg
2011-10-30 23:20:18,formal,male,summer,dataset\formal_men_summer\Giorgenti New York _Custom Suits_Custom Shirts_Tuxedo.jpeg
2020-08-05 01:56:36,formal,male,summer,dataset\formal_men_summer\Men_s business-casual trends for the fall season.jpeg
2011-08-18 06:24:52,casual,male,summer,dataset\casual_men_summer\Screenshot_20240106-234124.png
2011-04-20 19:54:29,beach,male,Winter,dataset\beach_men\abbd77d7-9e2a-46c5-ac71-b4fa1e83af7c.jpeg
2009-09-05 06:19:23,casual,male,summer,dataset\casual_men_summer\Screenshot_20240104-122111.png
2015-09-16 21:16:04,casual,female,winter,dataset\casual_women_winter\Screenshot_20240104-133716.png
2000-04-22 23:10:28,casual,male,summer,dataset\casual_men_summer\20 Best Spring Outfits For Teenage Guys in 2022 _ Meantformen.jpeg
2008-05-16 02:40:54,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.56.59_b423a073.jpg
2013-12-06 11:30:08,beach,male,Summer,dataset\beach_men\Men’s Summer Outfits.jpeg
2003-11-05 05:53:03,formal,male,winter,dataset\formal_men_winter\31 Best Combination Outfits For Men in 2023 – Fashion Hombre.jpeg
2012-02-17 13:13:43,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131103.png
2005-04-02 05:51:51,formal,male,summer,dataset\formal_men_summer\Gentlemen.jpeg
2002-08-16 14:01:29,formal,male,summer,dataset\formal_men_summer\business fashion outfits_ smart casual outfits_ fashion trends outfit_ fashion clothes.jpeg
2020-08-10 21:04:12,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.57.00_876e1ad9.jpg
2002-01-25 01:32:26,casual,female,winter,dataset\casual_women_winter\Sweaters for Women _ PacSun.jpeg
2019-11-08 16:05:09,beach,male,Summer,dataset\beach_men\50318408-8018-414e-9977-d36897618653.jpeg
2008-10-20 13:10:30,casual,female,winter,dataset\casual_women_winter\b0c529d0-b408-41f3-888f-a67e7a707eed.jpeg
2007-07-28 08:13:29,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131802.png
2004-03-08 20:33:47,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-133958.png
2019-08-16 10:57:36,formal,male,winter,dataset\formal_men_winter\Men_s Chinos Pants.jpeg
2012-02-11 07:19:36,formal,female,winter,dataset\formal_women_winter\The 10 labels that EVERY woman over 30 needs to know about.jpeg
2014-05-30 19:44:53,formal,female,winter,dataset\formal_women_winter\84 Classic Trousers Pants Outfits Tips This Winter You Will Ever Need.jpeg
2002-12-23 04:25:23,casual,male,winter,dataset\casual_men_winter\Screenshot_20240104-120107.png
2017-06-27 22:19:38,formal,female,summer,dataset\formal_women_summer\Suit of the Week_ Theory - Corporette_com.jpeg
2013-01-22 06:33:50,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.57.59_c8d62f8e.jpg
2010-07-20 14:37:04,formal,male,winter,dataset\formal_men_winter\52 Dashing Formal Outfit Ideas For Men in 2023 – Fashion Hombre.jpeg
2015-03-09 15:57:49,casual,male,winter,dataset\casual_men_winter\Screenshot_20240104-120233.png
2007-08-29 19:19:42,casual,male,winter,dataset\casual_men_winter\JAY BYARS - JOSH NORRIS STUDIO- Official portfolio of South Carolina People Photographer Josh Norris.jpeg
2005-12-10 14:06:25,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-134109.png
2006-07-02 15:11:41,casual,male,summer,dataset\casual_men_summer\Screenshot_20231230-165420.png
2011-04-08 22:23:24,casual,female,winter,dataset\casual_women_winter\Screenshot_20240106-233700.png
2003-07-29 07:02:01,casual,female,winter,dataset\casual_women_winter\b8e43a9d-cc8a-46fc-a99b-f100cee28143.jpeg
2010-09-14 07:54:25,formal,male,summer,dataset\formal_men_summer\Style Coordinators.jpeg
2006-12-07 21:53:08,formal,male,summer,dataset\formal_men_summer\WhatsApp Image 2024-01-04 at 10.56.47_353c7e9d.jpg
2004-12-29 06:41:30,formal,male,summer,dataset\formal_men_summer\Men's Grey Pants With Shirts Beautiful Combination Outfits 2022 (1).jpeg
2009-11-19 02:43:11,casual,female,winter,"dataset\casual_women_winter\25 Sexy and Comfortable casual winter outfits, 50_ off.jpeg"
2009-08-11 01:27:14,casual,male,summer,dataset\casual_men_summer\Screenshot_20240104-122204.png
2004-07-08 15:24:12,casual,male,summer,dataset\casual_men_summer\Screenshot_20231230-165928.png
2008-09-08 17:32:56,formal,male,winter,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.57.33_59961419.jpg
2016-07-10 10:49:51,beach,male,Winter,dataset\beach_men\15 vezes que desejamos usar sandália no verão.jpeg
2010-08-09 20:45:04,beach,male,Winter,dataset\beach_men\fashion men are the new black.jpeg
2010-06-07 00:35:38,casual,male,winter,dataset\casual_men_winter\Screenshot_20231230-170450.png
2017-01-07 18:22:39,formal,male,summer,dataset\formal_men_summer\Buy TucciPolo Mens Handmade Leather Belts _ Italian Leather Belts for Men.jpeg
2006-02-19 15:57:11,casual,female,summer,dataset\casual_women_summer\f5cfff24-e74b-4954-8983-655b07afbf1d.jpeg
2000-06-22 20:22:08,casual,female,winter,dataset\casual_women_winter\winter fashion 2023Top Best 90s chola fashion For women 2023 winter 2023 fashion trends.jpeg
2018-11-15 05:49:11,formal,female,summer,dataset\formal_women_summer\5 Zapatos Cmodos Para La Oficina Y Verte Elegante _ Classy Work Outfits.jpeg
2013-02-06 14:33:07,casual,female,winter,dataset\casual_women_winter\Fashion Look Featuring Orseund Iris Turtleneck Sweaters and boohoo Sweaters by NimishaJaggi - ShopStyle.jpeg
2018-06-10 00:11:51,beach,male,Summer,dataset\beach_men\Adnan _ Shorts.jpeg
2001-04-04 15:09:21,casual,female,summer,dataset\casual_women_summer\f79e4d03-3de5-4531-8e8c-37ca6b8b703a.jpeg
2005-12-24 12:15:29,casual,male,winter,dataset\casual_men_winter\PULL GRIS SHETLAND ITALIE.jpeg
2008-12-17 20:32:12,casual,female,winter,dataset\casual_women_winter\Trust Me_ This Under-$150 Outfit Formula Saves My Wardrobe Every Time.jpeg
2019-02-17 06:17:51,casual,female,winter,dataset\casual_women_winter\Winter Style Essentials…_.jpeg
2015-12-09 17:25:31,casual,female,winter,dataset\casual_women_winter\Screenshot_20240104-132436.png
2001-12-04 20:49:36,formal,male,summer,dataset\formal_men_summer\Casual Wear Up.jpeg
2020-03-08 09:49:59,casual,male,winter,dataset\casual_men_winter\Screenshot_20240104-125501.png
2018-03-22 14:02:39,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-131409.png
2004-10-06 15:59:06,formal,male,winter,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.58.02_aad734bd.jpg
2004-07-27 13:59:06,casual,female,winter,"dataset\casual_women_winter\summer vacay outfits, casual chic winter outfits.jpeg"
2012-03-09 01:35:56,formal,female,winter,dataset\formal_women_winter\These 3 Wardrobe Essentials Will Make Your Mornings Way Easier.jpeg
2001-05-07 15:03:38,formal,female,summer,dataset\formal_women_summer\db02550a-8964-41f1-9523-c7633913bc45.jpeg
2001-01-12 21:26:38,casual,male,summer,dataset\casual_men_summer\Screenshot_20231230-170101.png
2002-02-26 15:40:18,casual,male,summer,dataset\casual_men_summer\Screenshot_20231230-165854.png
2004-01-30 19:53:16,casual,male,winter,dataset\casual_men_winter\black men winter outfits casual streetwear  casual winter outfits men classy streetwear winter.jpeg
2012-05-02 23:33:16,formal,male,summer,dataset\formal_men_summer\Black slim fit shirt by mcrtailor.jpeg
2020-05-25 08:05:54,formal,female,winter,dataset\formal_women_winter\professional business attire.jpeg
2001-10-06 09:30:54,casual,male,summer,dataset\casual_men_summer\Screenshot_20231230-171459.png
2011-06-29 10:25:23,casual,male,winter,dataset\casual_men_winter\Screenshot_20231230-170627.png
2004-11-13 12:47:40,casual,female,winter,"dataset\casual_women_winter\I’m A Fashion And Beauty Photographer Based In London, And Here Are Some Of My Works (13 Pics) (1).jpeg"
2017-09-21 06:10:08,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-115905.png
2004-08-31 17:31:59,formal,female,summer,dataset\formal_women_summer\Styling Blue Coats _ 25 Outfits to Wear with Navy Blue Coats.jpeg
2012-08-05 01:47:00,casual,female,summer,dataset\casual_women_summer\Screenshot_20240104-132914.png
2011-08-17 05:20:48,casual,female,summer,dataset\casual_women_summer\WOMEN_S SNEAKERS – NOCTURNAL ABSTRACT 222.jpeg
2001-04-02 10:41:30,casual,female,winter,dataset\casual_women_winter\Screenshot_20240104-132812.png
2015-08-17 21:31:19,casual,male,winter,dataset\casual_men_winter\11 Best Men_s Fashion Tips To Elevate Your Style.jpeg
2011-12-13 16:49:13,formal,male,summer,"dataset\formal_men_summer\Men_s Shirts - Classic, Casual _ Denim Shirts for Men in Luxurious Fabrics (5).jpeg"
2007-11-13 02:50:25,casual,male,summer,dataset\casual_men_summer\Screenshot_20240104-122101.png
2006-09-18 15:26:03,formal,male,winter,dataset\formal_men_winter\WhatsApp Image 2024-01-04 at 10.57.33_b229f1a5.jpg
